"%O2"/"%NO"/"%CO"/"BTZ (°C)"/"FCC (T/h)"/"AH (T/h)"/"AMP"/"CIM (t)"/"CG (T/h)"/"RPM"/"BET (°C)"/"% CO2"/"% C3S"/"% C3A"/"% C2S"/"% C4AF"/"% CaO(l)"/"Prediccion Cal"/"Calificacion real"/"Calificacion predicha"/"fecha_hora"
3.6792/1678.8/0.030799999833107/1599.02/7.28039979934692/154.259994506836/225.1975/0.03313334/0.0/2.85240006446838/582.8/13.44396/64.8/8.3/14.7/8.2/0.76/0.725/Alta/Alta/2010-10-10 04:05:00.000
3.2949/974.2/0.0728/1461.12/7.17719984054565/154.692001342773/190.57/0.03322667/0.0/2.90680003166199/572.799987792969/0.001525902/63.5/8.4/16.0/8.0/1.24/1.207/Regular/Regular/2010-10-10 08:10:00.000
4.6158/1036.4/0.0281000006943941/1428.22/6.8208/152.64/249.8975/0.03333334/0.0161245/2.90680003166199/592.799987792969/13.57595/63.3/8.3/15.4/8.0/1.5/1.286/Regular/Regular/2010-10-10 12:24:00.000
4.7922/899.6/0.0515/1313.98/6.63600015640259/153.774/197.315/0.03264/0.0101150004193187/2.90680003166199/582.799987792969/13.83917/63.8/8.2/16.2/8.0/0.81/0.841/Alta/Alta/2010-10-10 16:09:00.000
3.4251/1503.2/0.0782/1595.03/6.834/155.141998291016/192.8975/0.03292/0.008171334/2.9216001033783/585.200012207031/12.46815/62.9/8.1/16.9/7.9/1.24/1.214/Regular/Regular/2010-10-10 20:30:00.000
4.4226/1148.2/0.0513/1486.81/6.79440021514893/154.404006958008/214.605/0.03254667/0.0091630006209015/2.92880010604858/576.299987792969/12.33616/63.5/8.3/16.0/7.9/1.06/0.998/Regular/Alta/2010-10-11 00:30:00.000
4.0614/1173.0/0.0596/1537.7/6.8496/156.006/269.23/0.03286667/0.00714/2.8808000087738/574.1/11.90433/63.8/8.4/15.2/8.2/1.19/1.099/Regular/Regular/2010-10-11 04:11:00.000
4.3785/1276.2/0.0574/1493.39/6.768/154.944000244141/221.3975/0.03326667/0.0080622509121894/2.86840009689331/575.200012207031/13.18074/64.0/8.2/15.3/8.0/1.18/1.1/Regular/Regular/2010-10-11 08:14:00.000
3.7485/1126.6/0.0696/1437.11/6.9564/145.296/261.535/0.03310667/0.008052334/2.86840009689331/587.4/12.84352/63.0/8.2/16.1/8.0/1.2/1.223/Regular/Regular/2010-10-11 12:14:00.000
4.1244/815.8/0.0286/1390.98/6.8688/154.998/209.475/0.033/0.0091828340664506/2.90879988670349/579.5/13.72854/65.4/8.0/14.7/8.0/1.02/0.885/Regular/Alta/2010-10-11 16:11:00.000
3.9291/1074.6/0.0639/1517.89/6.8004/155.664/236.075/0.03190667/0.008538250811398/2.90879988670349/579.5/13.95132/63.0/8.0/16.0/8.0/1.75/1.592/Regular/Regular/2010-10-11 20:15:00.000
4.2777/1036.2/0.0475/1448.1/7.0188/155.466/238.83/0.03305333/0.007546584/2.90039992332459/578.400024414063/13.53857/64.0/8.0/15.3/8.0/1.55/1.329/Regular/Regular/2010-10-12 00:12:00.000
